"DATE","CATEGORY","PUZZLE","L1","L2","L3","L4","L5","WIN"
2015-02-04,"Thing","WATER VAPOR","H","M","P","A",NA,"Yes"
2015-02-05,"Living Thing","TINY GUPPY","C","D","M","I",NA,"No"
2015-02-06,"Thing","LUXURY VEHICLE","D","C","P","O",NA,"Yes"
2015-02-09,"Thing","FOAMY LATHER","H","D","M","I",NA,"No"
2015-02-10,"Food & Drink","FLUFFY PANCAKES","P","D","M","A",NA,"No"
2015-02-11,"Person","PUBLIC OFFICIAL","P","G","H","O",NA,"No"
2015-02-12,"Thing","BARGAINING CHIP","C","H","P","A",NA,"Yes"
2015-02-13,"Thing","CLEVER PUZZLE","C","D","P","O",NA,"No"
2015-02-16,"What Are You Doing?","PAYING A FEW BILLS","P","H","G","A",NA,"No"
2015-02-17,"What Are You Doing?","PICKING UP THE KIDS","G","D","H","A",NA,"No"
2015-02-18,"Occupation","FACTORY WORKER","P","M","C","O",NA,"Yes"
2015-02-19,"People","GYM BUDDIES","M","C","D","A",NA,"No"
2015-02-20,"Event","HEROIC ACT","M","D","B","O",NA,"No"
2015-02-23,"Thing","UPHOLSTERY FABRIC","Y","C","P","U",NA,"Yes"
2015-02-24,"Things","PHOTOS AND VIDEOS","C","F","H","O",NA,"Yes"
2015-02-25,"What Are You Doing?","HOVERING","P","B","G","O",NA,"Yes"
2015-02-26,"Event","BUYING A HOUSE","G","C","M","A",NA,"No"
2015-02-27,"Thing","AUXILIARY POWER","C","P","B","O",NA,"No"
2007-03-01,"Thing","BLANK PAGE","C","M","P","A",NA,"No"
2007-03-02,"Things","SKI BOOTS","C","M","D","O",NA,"No"
2007-03-05,"Thing","PAPERWORK","D","M","P","A",NA,"Yes"
2007-03-06,"Phrase","IN VOGUE","M","P","D","I",NA,"Yes"
2007-03-07,"Phrase","PAYING DUES","C","G","M","A",NA,"No"
2007-03-08,"Phrase","HIGHLY ORGANIZED","C","M","H","A",NA,"No"
2007-03-09,"Place","CITY BLOCK","H","P","C","A",NA,"No"
2007-03-12,"Phrase","REVVING UP","G","B","H","I","Y","No"
2007-03-13,"Thing","GEOGRAPHY","G","P","M","A",NA,"Yes"
2007-03-14,"Thing","FOGHORN","H","P","C","A",NA,"Yes"
2007-03-15,"Phrase","I'M OVERJOYED","D","M","H","O","G","No"
2007-03-16,"Phrase","BAKED OR FRIED","D","B","M","O",NA,"Yes"
2007-03-19,"Things","CHUBBY CHEEKS","P","M","F","O",NA,"No"
2007-03-20,"Event","DOZING OFF","B","C","G","A",NA,"No"
2007-03-21,"Thing","POLICE UNIFORM","C","M","P","A",NA,"Yes"
2007-03-22,"Thing","WIGGLE ROOM","C","D","M","A",NA,"No"
2007-03-23,"Thing","BUSYWORK","D","M","P","O",NA,"No"
2007-03-26,"Person","PLAYWRIGHT","C","D","G","I","M","Yes"
2007-03-27,"On the Map","DULUTH","Y","M","C","A",NA,"No"
2007-03-28,"Food & Drink","DRIED FIGS","D","B","M","I",NA,"Yes"
2007-03-29,"Thing","POCKETBOOK","C","H","M","O",NA,"Yes"
2007-03-30,"Thing","NIFTY IDEA","C","H","D","O",NA,"No"
2008-03-03,"Thing","BUYING POWER","C","G","D","A",NA,"No"
2008-03-04,"Phrase","MY JAW DROPPED","C","D","P","I","F","Yes"
2008-03-05,"Proper Name","UTAH JAZZ","M","D","C","O",NA,"No"
2008-03-06,"Thing","FOOD VOUCHER","B","G","H","O",NA,"No"
2008-03-07,"Thing","OIL GAUGE","G","M","D","O",NA,"Yes"
2008-03-10,"Phrase","FLAG HIM DOWN","G","H","D","O",NA,"No"
2008-03-11,"Thing","APOLOGY","M","D","P","A",NA,"No"
2008-03-12,"Thing","KEY PLAY","M","D","G","A","H","No"
2008-03-13,"Thing","PAID INVOICE","C","D","M","O",NA,"No"
2008-03-14,"Thing","BIT OF TRIVIA","F","D","P","O","C","No"
2008-03-17,"Thing","BUZZING SOUND","C","M","P","O",NA,"No"
2008-03-18,"Show Biz","RHYTHM GUITAR","C","P","G","O",NA,"No"
2008-03-19,"Phrase","THICK HAZE","C","D","G","O","H","No"
2008-03-20,"Thing","PURE OXYGEN","F","C","M","I",NA,"No"
2008-03-21,"Phrase","BOOKED SOLID","G","H","P","A",NA,"No"
2008-03-24,"Place","BACK PATIO","C","H","P","O",NA,"Yes"
2008-03-25,"Phrase","GIVE ME FIVE","M","H","P","A","F","No"
2008-03-26,"Phrase","CRAZY ABOUT YOU","M","P","H","O",NA,"No"
2008-03-27,"Thing","DEEP SIGH","B","D","H","O",NA,"No"
2008-03-28,"Phrase","WAR OF WORDS","M","D","P","A",NA,"No"
2008-03-31,"Phrase","TOUGH TO AVOID","M","D","C","O",NA,"No"
2009-03-02,"Phrase","RIGHT ON CUE","C","P","G","A",NA,"No"
2009-03-03,"Show Biz","RAVE REVIEW","D","H","B","A",NA,"Yes"
2009-03-04,"Phrase","JUST WIN","C","B","M","A",NA,"No"
2009-03-05,"Thing","VIVID MEMORY","M","P","D","A",NA,"No"
2009-03-06,"Thing","BIKE CHAIN","C","G","M","A",NA,"No"
2009-03-09,"Thing","DIGITAL IMAGE","D","M","C","O",NA,"Yes"
2009-03-10,"Thing","VAGUE NOTION","C","M","H","A",NA,"No"
2009-03-11,"Things","JUICY TIDBITS","D","C","M","I","G","No"
2009-03-12,"Thing","ANTIQUE TRUNK","D","H","C","A",NA,"Yes"
2009-03-13,"Thing","NIFTY TRICK","H","C","M","O","D","No"
2009-03-16,"Thing","WHIRLPOOL","C","H","P","O",NA,"Yes"
2009-03-17,"Things","AUDIO AND VIDEO","P","C","D","O",NA,"No"
2009-03-18,"Thing","BOLD MOVE","C","D","P","I",NA,"Yes"
2009-03-19,"Place","HOME GYM","C","M","P","A",NA,"No"
2009-03-20,"Phrase","VALID POINT","C","M","P","O",NA,"No"
2009-03-23,"Thing","MAGIC WAND","C","D","G","I",NA,"Yes"
2009-03-24,"Phrase","DO ME A FAVOR","M","D","H","I","F","Yes"
2009-03-25,"Thing","SHINY COIN","P","C","D","I",NA,"No"
2009-03-26,"Phrase","OFF THE HOOK","C","D","M","O",NA,"Yes"
2009-03-27,"Person","GOLF PRO","C","M","P","O",NA,"Yes"
2009-03-30,"Thing","WILD GUESS","C","D","H","O",NA,"No"
2009-03-31,"Person","AVID FAN","M","D","C","O",NA,"No"
2010-03-01,"Things","BRAIN WAVES","D","P","G","I",NA,"No"
2010-03-02,"Thing","COMPANY LOGO","C","H","M","A",NA,"No"
2010-03-03,"Phrase","SNUGGLE UP","P","D","M","U",NA,"Yes"
2010-03-04,"Phrase","LAW OF AVERAGES","M","D","B","I",NA,"No"
2010-03-05,"Phrase","WALKING ON AIR","D","G","P","A",NA,"Yes"
2010-03-08,"Thing","OUTWARD APPEARANCE","D","C","H","O",NA,"Yes"
2010-03-09,"Phrase","GO FOR THE GOLD","H","M","D","O",NA,"Yes"
2010-03-10,"Thing","LONG HAUL","D","C","H","I",NA,"Yes"
2010-03-11,"Phrase","PART OF THE BARGAIN","D","P","C","O","F","No"
2010-03-12,"Thing","HEAVY-DUTY EQUIPMENT","M","P","C","A",NA,"No"
2010-03-15,"Thing","PUNCH BOWL","C","P","D","I",NA,"No"
2010-03-16,"Person","BODYBUILDER","M","D","C","A",NA,"No"
2010-03-17,"Thing","LOGICAL CONCLUSION","C","D","M","A",NA,"Yes"
2010-03-18,"Phrase","SCHOOL OF THOUGHT","P","F","C","O",NA,"Yes"
2010-03-19,"Phrase","CAUGHT OFF-GUARD","D","M","C","O",NA,"No"
2010-03-22,"Thing","SKETCHPAD","H","C","G","A",NA,"Yes"
2010-03-23,"Phrase","KEEP YOUR RECEIPT","M","H","C","O",NA,"Yes"
2010-03-24,"Thing","JUICY GOSSIP","H","G","P","A",NA,"No"
2010-03-25,"Phrase","BELOW THE SURFACE","C","D","M","I",NA,"No"
2010-03-26,"Thing","PROPER TECHNIQUE","D","M","H","A",NA,"No"
2010-03-29,"Phrase","FITS LIKE A GLOVE","B","D","P","A",NA,"No"
2010-03-30,"Phrase","THE PERFECT MIX","H","K","M","I","C","Yes"
2010-03-31,"Event","PHOTO FINISH","M","C","Y","A",NA,"No"
2011-03-01,"Thing","HOW-TO GUIDE","D","G","P","O",NA,"No"
2011-03-02,"Thing","HOURLY WAGE","C","D","Y","A",NA,"No"
2011-03-03,"Phrase","WIGGLE ROOM","M","P","D","O",NA,"No"
2011-03-04,"Thing","LOUD OVATION","C","P","Y","O",NA,"No"
2011-03-07,"Thing","POINT OF VIEW","M","D","C","I",NA,"Yes"
2011-03-08,"Thing","GREAT AMBITION","B","G","H","A","M","Yes"
2011-03-09,"Phrase","HAVE FAITH","D","H","M","O",NA,"Yes"
2011-03-10,"Person","BODYGUARD","D","M","C","A",NA,"Yes"
2011-03-11,"Phrase","TOUGH ACT TO FOLLOW","H","D","M","O","P","Yes"
2011-03-14,"Phrase","HIGHLY ORGANIZED","B","G","D","O","H","Yes"
2011-03-15,"Phrase","WHAT A KICK","G","H","B","O",NA,"No"
2011-03-16,"Phrase","BY A WIDE MARGIN","M","C","F","A",NA,"No"
2011-03-17,"Thing","FLAGPOLE","D","B","M","I",NA,"No"
2011-03-18,"Things","FOUR QUARTS","C","H","P","O","G","No"
2011-03-21,"Place","PUBLIC WALKWAY","P","M","D","O",NA,"No"
2011-03-22,"Things","GIGABYTES","M","P","D","I",NA,"No"
2011-03-23,"Thing","GORGEOUS BOUQUET","H","M","P","A",NA,"No"
2011-03-24,"Phrase","AS YOU WISH","H","D","M","I",NA,"Yes"
2011-03-25,"Phrase","KID STUFF","D","M","H","O",NA,"No"
2011-03-28,"Phrase","FOOD FOR THOUGHT","D","C","M","U",NA,"No"
2011-03-29,"Phrase","A SIGN FROM ABOVE","G","F","B","A",NA,"Yes"
2011-03-30,"Phrase","LAUGH IT OFF","G","H","F","I",NA,"Yes"
2011-03-31,"Thing","BUS ROUTE","B","C","F","U",NA,"Yes"
2012-03-01,"Phrase","PLAYING A HUNCH","D","G","B","A",NA,"No"
2012-03-02,"Thing","BIKE ROUTE","P","M","C","O",NA,"No"
2012-03-05,"Thing","WIND-UP TOY","B","C","M","A","G","Yes"
2012-03-06,"Person","PRO BOWLER","D","M","C","A",NA,"No"
2012-03-07,"Thing","TACKLE BOX","H","C","D","A",NA,"Yes"
2012-03-08,"Phrase","LIVING PROOF","G","V","D","O",NA,"No"
2012-03-09,"Thing","WICKER CHAIR","D","H","C","A",NA,"Yes"
2012-03-12,"Thing","SKYLIGHT","H","D","M","O",NA,"Yes"
2012-03-13,"Phrase","BRIDGE THE GAP","D","H","M","A",NA,"No"
2012-03-14,"Thing","GREAT CHOICE","M","D","P","O",NA,"No"
2012-03-15,"Phrase","LOOK OUT BELOW","C","G","H","O",NA,"Yes"
2012-03-16,"Person","KID BROTHER","G","C","D","A",NA,"No"
2012-03-19,"Thing","THICK FOG","C","D","M","I",NA,"No"
2012-03-20,"Person","UNSUNG HERO","D","C","H","A",NA,"No"
2012-03-21,"Things","WHITE GLOVES","M","D","P","A",NA,"No"
2012-03-22,"Phrase","A BRIGHT FUTURE","G","C","M","A",NA,"No"
2012-03-23,"Phrase","I WOULD BE DELIGHTED","B","P","H","A",NA,"Yes"
2012-03-26,"People","PANEL OF JUDGES","P","F","H","A",NA,"Yes"
2012-03-27,"Things","PEAK HOURS","C","D","M","O",NA,"No"
2012-03-28,"Things","BASIC REQUIREMENTS","P","D","M","A",NA,"No"
2012-03-29,"Phrase","FLIP THE SWITCH","P","F","C","I",NA,"Yes"
2012-03-30,"Phrase","IN THE MIX","C","P","D","O",NA,"No"
2013-03-01,"Thing","VIOLIN BOW","C","D","M","A",NA,"No"
2013-03-04,"What Are You Doing?","VACUUMING","D","M","G","I",NA,"No"
2013-03-05,"Thing","JOYSTICK","D","C","M","I",NA,"No"
2013-03-06,"Things","WORDS OF LOVE","M","F","D","O",NA,"Yes"
2013-03-07,"Thing","ZERO GRAVITY","D","M","P","O",NA,"No"
2013-03-08,"Thing","APPROVAL","D","B","H","I",NA,"No"
2013-03-11,"Thing","VAGUE IMPRESSION","P","M","B","A",NA,"No"
2013-03-12,"Things","BOARDROOM CHAIRS","C","H","M","A",NA,"Yes"
2013-03-13,"Phrase","HUG IT OUT","F","P","G","I",NA,"Yes"
2013-03-14,"Thing","FOOLPROOF SCHEME","F","P","G","A",NA,"Yes"
2013-03-15,"What Are You Doing?","MAKING A BUDGET","M","G","D","A",NA,"Yes"
2013-03-18,"Phrase","DO NOT BUDGE","M","F","P","O",NA,"Yes"
2013-03-19,"Place","PRIVATE BUNGALOW","C","H","P","I",NA,"No"
2013-03-20,"Thing","FAMILY SAGA","C","H","M","O",NA,"No"
2013-03-21,"Place","IN THE DUGOUT","M","C","P","O",NA,"Yes"
2013-03-22,"Phrase","PAY IT FORWARD","C","P","H","I",NA,"Yes"
2013-03-25,"Phrase","VOICE YOUR OPINION","C","D","M","O","P","Yes"
2013-03-26,"Phrase","IT WAS BOUND TO HAPPEN","H","C","P","O","M","No"
2013-03-27,"Place","PHOTO BOOTH","Y","D","C","A",NA,"No"
2013-03-28,"Thing","CHALKBOARD","M","C","D","A",NA,"Yes"
2013-03-29,"People","GOLF FOURSOME","B","C","D","A","H","No"
2014-03-03,"Thing","BOX OF BAKING SODA","P","H","F","O",NA,"No"
2014-03-04,"What Are You Doing?","WINDOW-SHOPPING","G","D","M","O",NA,"Yes"
2014-03-05,"Thing","OPEN VAULT","P","M","D","I",NA,"No"
2014-03-06,"Phrase","SOMEWHAT OF A SURPRISE","M","W","P","A",NA,"Yes"
2014-03-07,"Person","POWER BROKER","C","H","B","O",NA,"No"
2014-03-10,"Thing","WOVEN HANDBAG","M","P","D","A",NA,"No"
2014-03-11,"Thing","HOT PROSPECT","C","W","M","O",NA,"Yes"
2014-03-12,"Thing","A NUGGET OF INFORMATION","A","F","C","D",NA,"Yes"
2014-03-13,"Phrase","FRESH APPROACH","P","G","M","A",NA,"No"
2014-03-14,"What Are You Doing?","BACKPACKING","D","H","M","A","F","No"
2014-03-17,"Thing","CHOPPED FIREWOOD","C","H","D","A",NA,"No"
2014-03-18,"What Are You Doing?","EVOLVING","M","P","G","A","C","No"
2014-03-19,"Thing","NEW BABY BUGGY","H","M","D","O",NA,"Yes"
2014-03-20,"Thing","GROUNDBREAKING WORK","F","G","Y","I",NA,"No"
2014-03-21,"Thing","FINAL COUNTDOWN","F","M","P","I",NA,"Yes"
2014-03-24,"Thing","COMPLIMENTARY UPGRADE","C","D","P","O",NA,"No"
2014-03-25,"What Are You Doing?","BACKPEDALING","M","D","G","A",NA,"No"
2014-03-26,"Event","TAKING FLIGHT","H","C","D","A","M","No"
2014-03-27,"Things","JACUZZI BUBBLES","H","P","C","I",NA,"No"
2014-03-28,"Thing","BUSINESS SAVVY","G","B","C","A","M","No"
2014-03-31,"Thing","A BRIEF EXPLANATION","P","H","D","A",NA,"Yes"
2015-03-02,"Phrase","HIGH IMPACT","P","G","C","A",NA,"No"
2015-03-03,"Things","FANCY COWBOY BOOTS","C","D","M","A",NA,"No"
2015-03-04,"Phrase","GIFT IDEAS FOR HIM","M","B","H","O",NA,"No"
2015-03-05,"Person","AVID GOLFER","C","H","B","A",NA,"No"
2015-03-06,"Phrase","BOGGED DOWN","P","G","D","A",NA,"No"
2015-03-09,"Phrase","POSITIVE VIEW","G","F","P","O",NA,"No"
2015-03-10,"Things","BIG PAWS","B","D","M","A",NA,"No"
2015-03-11,"Living Things","WILD FAUNA","D","G","C","O",NA,"No"
2015-03-12,"Phrase","WORTH WAITING FOR","H","G","F","I","C","Yes"
2015-03-13,"Thing","AUTHORIZED BIOGRAPHY","D","C","P","A",NA,"No"
2015-03-16,"Thing","AUDIO FREQUENCY","C","P","M","I",NA,"No"
2015-03-17,"Phrase","THE EXACT AMOUNT","H","D","C","O",NA,"No"
2015-03-18,"Things","BREAKING WAVES","P","H","G","O",NA,"No"
2015-03-19,"Thing","GROUP PORTRAIT","C","P","M","A",NA,"Yes"
2015-03-20,"Thing","VALID LOGIC","D","P","C","O",NA,"Yes"
2015-03-23,"Thing","MAHOGANY WOOD","M","P","D","A",NA,"No"
2015-03-24,"Place","BUMPY PATH","D","C","M","O",NA,"No"
2015-03-25,"Phrase","ACHIEVE YOUR GOAL","B","M","D","O",NA,"Yes"
2015-03-26,"Thing","POCKET DIARY","G","P","H","O",NA,"No"
2015-03-27,"Phrase","BUSY WITH WORK","H","G","D","A","C","No"
2015-03-30,"Phrase","JUMP IN THE BACK","H","C","G","O",NA,"No"
2015-03-31,"Person","WACKY NEIGHBOR","P","H","G","O",NA,"Yes"
2007-04-02,"Things","PERKS OF THE JOB","D","F","H","O",NA,"No"
2007-04-03,"Phrase","WORDS FAIL ME","B","M","P","A",NA,"No"
2007-04-04,"Phrase","HIGH TIME","M","K","B","A","G","No"
2007-04-05,"Phrase","NOBODY KNOWS","C","D","M","I",NA,"No"
2007-04-06,"Phrase","PIPING HOT","H","M","C","O","G","Yes"
2007-04-09,"Thing","HEAVY TRAFFIC","C","H","M","A","P","No"
2007-04-10,"Phrase","LIVING PROOF","C","M","D","A",NA,"No"
2007-04-11,"Things","CHOICE WORDS","P","D","M","A",NA,"No"
2007-04-12,"Things","FAIR WAGES","P","C","D","O",NA,"No"
2007-04-13,"Person","BIOGRAPHER","C","D","M","I",NA,"No"
2007-04-16,"On the Map","KITTY HAWK","M","C","P","O",NA,"No"
2007-04-17,"Phrase","OBEY THE LAW","D","C","M","I",NA,"No"
2007-04-18,"Phrase","BACK AND FORTH","M","D","P","A",NA,"No"
2007-04-19,"Phrase","HUMBLE PIE","C","D","P","A",NA,"No"
2007-04-20,"Phrase","DON'T QUIT","D","P","M","A",NA,"Yes"
2007-04-23,"Person","THE BIG BOSS","B","G","P","O",NA,"Yes"
2007-04-24,"In the Kitchen","BACKSPLASH","M","C","D","A","P","Yes"
2007-04-25,"Things","FUN FACTS","F","D","P","A",NA,"Yes"
2007-04-26,"Phrase","LUCKY YOU","D","P","M","O",NA,"Yes"
2007-04-27,"Phrase","I'M HUNGRY","B","D","Y","I",NA,"Yes"
2007-04-30,"Phrase","BUYING IN BULK","M","G","D","O",NA,"No"
2008-04-01,"Phrase","WE KNOW HIM","G","B","W","O",NA,"No"
2008-04-02,"Phrase","FIT FOR A KING","B","G","F","O",NA,"Yes"
2008-04-03,"Fun & Games","DRAW POKER","C","H","M","A",NA,"No"
2008-04-04,"Phrase","I'M BEHIND YOU","M","C","G","O",NA,"No"
2008-04-07,"Thing","BRIDAL VEIL","M","F","C","A",NA,"No"
2008-04-08,"Thing","FLEXIBILITY","C","M","P","A",NA,"No"
2008-04-09,"Thing","KIND OFFER","D","M","F","I",NA,"No"
2008-04-10,"Thing","ROUGH PATCH","C","D","M","A",NA,"No"
2008-04-11,"Phrase","WEIGH YOUR OPTIONS","M","D","Y","O",NA,"Yes"
2008-04-14,"Phrase","ABOUT-FACE","D","M","G","","A","No"
2008-04-15,"Event","HIKE IN PAY","P","D","W","O",NA,"No"
2008-04-16,"Phrase","WITHOUT A FLAW","H","C","D","A",NA,"No"
2008-04-17,"Things","TAX & GRATUITY","C","M","P","A",NA,"No"
2008-04-18,"Place","MAGIC SHOP","C","H","M","A",NA,"Yes"
2008-04-21,"Place","KARAOKE BAR","B","C","M","A",NA,"Yes"
2008-04-22,"Show Biz","HOLLYWOOD GOSSIP","C","D","M","A",NA,"No"
2008-04-23,"Phrase","YOU HAVE TO FOCUS","M","P","H","A",NA,"No"
2008-04-24,"Thing","FORMAL GOWN","M","C","B","A",NA,"Yes"
2008-04-25,"Event","QUITTING A JOB","M","G","H","A",NA,"No"
2008-04-28,"Thing","MYTHOLOGY","M","B","P","O",NA,"No"
2008-04-29,"Phrase","QUIET DOWN","C","G","H","A",NA,"No"
2008-04-30,"Thing","WORLD MAP","W","D","P","O",NA,"Yes"
2009-04-01,"Thing","TRIVIA QUIZ","G","C","P","A",NA,"No"
2009-04-02,"Thing","DINOSAUR EXHIBIT","G","B","M","A",NA,"No"
2009-04-03,"Things","SOAPSUDS","D","M","C","A",NA,"Yes"
2009-04-06,"Food & Drink","MUFFIN TOPS","C","M","P","A","H","Yes"
2009-04-07,"Thing","CLIPBOARD","C","D","M","A","G","No"
2009-04-08,"Thing","VINTAGE CLOTHING","C","D","M","A",NA,"No"
2009-04-09,"Phrase","QUIRK OF FATE","M","P","D","A",NA,"No"
2009-04-10,"Phrase","WAY TO GO","C","D","G","O",NA,"No"
2009-04-13,"Food & Drink","GOOEY TAFFY","D","M","C","A",NA,"No"
2009-04-14,"Thing","TIGHT GRASP","C","H","P","I",NA,"Yes"
2009-04-15,"Thing","WORTHY CAUSE","C","D","G","I",NA,"No"
2009-04-16,"Phrase","DOWN TO THE WIRE","H","C","M","O",NA,"No"
2009-04-17,"Things","ADVERBS & ADJECTIVES","P","M","G","A",NA,"No"
2009-04-20,"Thing","A GOOD VIBE","D","F","M","I",NA,"No"
2009-04-21,"Things","GUSTY WINDS","A","C","P","F","M","No"
2009-04-22,"Phrase","GIVE AND TAKE","M","B","G","O",NA,"No"
2009-04-23,"Thing","SQUARE PEG","D","G","C","I",NA,"No"
2009-04-24,"Phrase","HURRY BACK","Y","P","D","A","H","No"
2009-04-27,"Place","FASHION BOUTIQUE","M","H","C","O",NA,"No"
2009-04-28,"Phrase","OUTSIDE THE BOX","D","F","M","I",NA,"Yes"
2009-04-29,"Phrase","BUCKLE UP","D","P","G","U",NA,"No"
2009-04-30,"Thing","PLAID BLOUSE","B","M","D","O",NA,"No"
2010-04-01,"Phrase","ACTING ON IMPULSE","G","C","M","O",NA,"Yes"
2010-04-02,"Person","BRIDEGROOM","C","D","H","A",NA,"No"
2010-04-05,"Phrase","BUZZING WITH EXCITEMENT","H","G","C","A","M","No"
2010-04-06,"Phrase","CHOW DOWN","C","M","D","A",NA,"No"
2010-04-07,"Thing","POSITIVE ATMOSPHERE","M","P","C","O",NA,"Yes"
2010-04-08,"Thing","HONEYMOON PERIOD","C","G","P","A","H","No"
2010-04-09,"Thing","WORKBENCH","D","C","M","A",NA,"No"
2010-04-12,"Person","AWARD RECIPIENT","M","H","C","O",NA,"No"
2010-04-13,"Phrase","EXACT CHANGE","C","P","G","A",NA,"Yes"
2010-04-14,"Phrase","INDULGE YOURSELF","D","M","C","I",NA,"Yes"
2010-04-15,"Thing","COZY BLANKET","C","P","M","O",NA,"No"
2010-04-16,"Fun & Games","ROYAL FLUSH","H","D","C","A",NA,"Yes"
2010-04-19,"Thing","PAPERWEIGHT","M","D","C","A",NA,"No"
2010-04-20,"Thing","EXPERT OPINION","D","M","G","I",NA,"No"
2010-04-21,"Thing","A FOREIGN LANGUAGE","G","P","M","O",NA,"Yes"
2010-04-22,"Phrase","IN THE GROOVE","G","D","H","O",NA,"Yes"
2010-04-23,"Place","FOOD COURT","B","P","C","O",NA,"No"
2010-04-26,"Phrase","WAIT A WHILE","C","M","D","A",NA,"Yes"
2010-04-27,"Phrase","PURE COINCIDENCE","C","M","P","O","D","Yes"
2010-04-28,"Phrase","MOVING FORWARD","D","P","C","O",NA,"Yes"
2010-04-29,"Things","JUMPING JACKS","D","M","P","I",NA,"No"
2010-04-30,"Thing","BELLY FLOP","C","P","M","A","H","Yes"
2011-04-01,"Thing","COMPUTER KEYBOARD","C","P","M","O",NA,"No"
2011-04-04,"Phrase","HOW KIND","D","P","B","A",NA,"No"
2011-04-05,"Thing","JUDGE'S GAVEL","F","G","H","A","M","Yes"
2011-04-06,"Phrase","GO QUIETLY","H","M","F","O",NA,"No"
2011-04-07,"Phrase","GIFT OF GAB","C","M","H","O",NA,"No"
2011-04-08,"Phrase","A MIXED BAG","C","D","M","A",NA,"No"
2011-04-11,"Phrase","SOLID PROOF","P","M","C","A",NA,"Yes"
2011-04-12,"What Are You Doing?","JOGGING IN PLACE","C","D","P","A",NA,"Yes"
2011-04-13,"Phrase","WORD TO THE WISE","H","D","P","O",NA,"Yes"
2011-04-14,"Thing","AUTOGRAPH","C","D","H","A","M","Yes"
2011-04-15,"Phrase","HUMBLE BEGINNINGS","D","M","P","O",NA,"Yes"
2011-04-18,"Thing","GOLF VISOR","D","M","C","O",NA,"No"
2011-04-19,"Thing","BABY FACE","M","P","D","A",NA,"No"
2011-04-20,"Thing","DUNE BUGGY","C","D","P","A",NA,"No"
2011-04-21,"Thing","PURE GOLD","C","P","B","O",NA,"Yes"
2011-04-22,"Phrase","I'M FLEXIBLE","M","C","P","A",NA,"No"
2011-04-25,"Things","WOBBLY LEGS","D","M","P","O",NA,"No"
2011-04-26,"Event","EPIC VOYAGE","G","D","B","O",NA,"Yes"
2011-04-27,"Thing","BOOK JACKET","C","M","H","O",NA,"No"
2011-04-28,"Phrase","GIVE A HOOT","B","C","D","O",NA,"Yes"
2011-04-29,"Thing","DOGGY DISH","H","D","C","A",NA,"No"
2012-04-02,"Fun & Games","LEAPFROG","D","C","H","O",NA,"No"
2012-04-03,"Phrase","IT WILL GROW ON YOU","C","P","M","A",NA,"No"
2012-04-04,"Phrase","ON THE SAME PAGE","P","M","H","O",NA,"Yes"
2012-04-05,"Things","TRIVIA QUESTIONS","P","B","H","O",NA,"No"
2012-04-06,"Phrase","TAKE THE BAIT","B","C","D","A",NA,"Yes"
2012-04-09,"Things","PSYCHIC POWERS","M","D","B","A",NA,"No"
2012-04-10,"Phrase","GET TO THE POINT","G","H","P","O",NA,"Yes"
2012-04-11,"Thing","WORD OF THE DAY","H","D","Y","O",NA,"Yes"
2012-04-12,"Phrase","A FEW LAUGHS","P","B","D","A",NA,"No"
2012-04-13,"Person","BOYHOOD IDOL","D","C","M","A",NA,"No"
2012-04-16,"Things","PORCELAIN FIGURINES","B","M","C","A",NA,"No"
2012-04-17,"Thing","WITTY REMARK","Y","C","P","A","D","No"
2012-04-18,"Phrase","OUT OF SIGHT","C","M","P","U",NA,"No"
2012-04-19,"Thing","COOKIE JAR","C","M","G","A",NA,"No"
2012-04-20,"Phrase","GO FOR BROKE","P","F","G","I",NA,"No"
2012-04-23,"Phrase","GET THE WORD OUT","H","C","B","O",NA,"No"
2012-04-24,"Fun & Games","OPENING KICKOFF","G","D","C","O",NA,"No"
2012-04-25,"Thing","A LIGHT TOUCH","G","C","H","O",NA,"Yes"
2012-04-26,"Phrase","BACK IN A FLASH","M","C","H","I",NA,"Yes"
2012-04-27,"Phrase","A CUT ABOVE","H","D","M","A",NA,"No"
2012-04-30,"Thing","BIRD FOOD","D","P","B","A",NA,"Yes"
2013-04-01,"Thing","QUART OF PAINT","C","H","P","I",NA,"Yes"
2013-04-02,"Phrase","A PAUSE IN THE ACTION","M","C","G","O",NA,"Yes"
2013-04-03,"Things","DISPLAYS AND EXHIBITS","D","B","C","A",NA,"No"
2013-04-04,"Food & Drink","VEGGIE PIZZA","D","H","C","I",NA,"No"
2013-04-05,"Thing","SHAVING FOAM","D","M","P","I",NA,"No"
2013-04-08,"Phrase","HIGHLY PROFITABLE","C","D","P","A",NA,"No"
2013-04-09,"What Are You Doing?","BANKING","G","P","H","I",NA,"No"
2013-04-10,"Thing","SHORT QUIZ","H","C","D","O","P","No"
2013-04-11,"Place","HOME OFFICE","D","M","P","I",NA,"No"
2013-04-12,"Thing","WIDE GAP","B","H","P","O",NA,"No"
2013-04-15,"Place","SCENIC PARKWAY","C","H","D","I",NA,"No"
2013-04-16,"Place","TURNPIKE EXIT","C","M","D","U",NA,"No"
2013-04-17,"People","VICTORIOUS PLAYERS","C","D","M","A",NA,"No"
2013-04-18,"Things","CHEEKBONES","C","H","P","O",NA,"Yes"
2013-04-19,"Thing","ROUGH SURFACE","C","D","M","A",NA,"Yes"
2013-04-22,"Person","BARGAIN SHOPPER","C","D","H","A",NA,"Yes"
